,pops,pi,tajimaD,watt_theta
0,AGO (An. coluzzii),0.0021969986314167274,-1.4300701777688494,0.004945491494771309
1,AGO (An. coluzzii),0.004690397169427056,-1.5065091415852367,0.009890982989542618
2,AGO (An. coluzzii),0.01955034230286846,-0.03576137088602296,0.019781965979085235
3,AGO (An. coluzzii),0.01808388927229507,0.6538246314280756,0.014836474484313926
4,AGO (An. coluzzii),0.0014482018250134192,-1.8945050362436053,0.005298740887254974
5,AGO (An. coluzzii),0.006631239935587762,-0.7037156358150488,0.008831234812091623
6,AGO (An. coluzzii),0.009628426487026996,-1.0485725675969997,0.014836474484313926
7,AGO (An. coluzzii),0.007821210690886933,-1.5262800831353582,0.01589622266176492
8,AGO (An. coluzzii),0.003802928903898079,-1.3436956797938004,0.007418237242156963
9,AGO (An. coluzzii),0.0020034486662528776,-1.904665818424038,0.0067117384571896335
10,AGO (An. coluzzii),0.027779186365787693,-1.001329593463745,0.04062368013562146
11,AGO (An. coluzzii),0.004643815658308412,-1.2706494312122014,0.008477985419607958
12,AGO (An. coluzzii),0.003919663608025831,-2.174106125804378,0.014483225091830261
13,AGO (An. coluzzii),0.0037803665363085655,-1.7701274175519128,0.009890982989542618
14,AGO (An. coluzzii),0.009955831608005521,-0.17488598995655494,0.010597481774509948
15,AGO (An. coluzzii),0.017273833805822144,-0.12494067104330718,0.01801571901666691
16,AGO (An. coluzzii),0.005089200768074898,-1.1969699996354368,0.008831234812091623
17,AGO (An. coluzzii),0.006489799175165007,-0.6588878109009717,0.008477985419607958
18,AGO (An. coluzzii),0.007525496511003757,-0.6018279405003327,0.009537733597058952
19,AGO (An. coluzzii),0.005837684223956971,-2.0282440737453915,0.017662469624183247
20,AGO (An. coluzzii),0.013076637225074322,-0.7865840327642903,0.017662469624183247
21,AGO (An. coluzzii),0.007984663752779696,-1.1488649810318765,0.013070227521895602
22,AGO (An. coluzzii),0.00967701270385929,-0.9373094379331968,0.014129975699346596
23,AGO (An. coluzzii),0.00809302456115158,-0.5208337872407488,0.009890982989542618
24,AGO (An. coluzzii),0.002528522311131007,-1.6922553959645235,0.0067117384571896335
25,AGO (An. coluzzii),0.007921088286690348,-0.9354609135547355,0.01165722995196094
26,AGO (An. coluzzii),0.007611143309847259,-0.6604254669781597,0.009890982989542618
27,AGO (An. coluzzii),0.019314923021816158,-1.3342025863574822,0.03355869228594817
28,AGO (An. coluzzii),0.007085854398833668,-0.887048081217088,0.010244232382026283
